category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,,,http://www.ebay.com/itm/Xmas-Tree-Ornament-Decoration-Home-Party-Holiday-Christmas-Ribbon-Garland-Decor/122214907461?hash=item1c74937e45%3Am%3Am333oWioSfgKkmnn-qofSlQ&var=,345 ,122214907461,C $0.99
,,,,,,,,http://www.ebay.com/itm/10Pcs-Cute-Wood-Snowflake-Xmas-Wedding-Tree-Hanging-Ornament-Decoration/361831520697?hash=item543ed6d9b9%3Am%3AmPN8th2gY1-HQQZW1jOqWwA&var=,141 ,10,0.99
,,,,,,Does not apply,22,http://www.ebay.com/itm/1pcs-Christmas-Santa-Claus-Ornaments-Festival-Party-Xmas-Tree-Hanging-Decoration/172352688718?epid=1486817010&hash=item282105524e%3Ag%3Ai6kAAOSw4shX5PGs,283 ,1,0.99
,,,Does not apply,,,,14,http://www.ebay.com/itm/Christmas-Xmas-Tree-Decor-Golden-Leaves-Home-Party-Decoration-Hanging-Ornaments/282634464436?hash=item41ce53acb4%3Ag%3AfUMAAOSwn7JYELpr,67 ,282634464436,0.99
,,,,,,Does not apply,,http://www.ebay.com/itm/100pcs-set-Christmas-Decor-Xmas-Wood-Chip-Tree-Ornaments-Hanging-Gifts-Ornament/122219563705?hash=item1c74da8ab9%3Ag%3ANVsAAOSw5cNYI%7Evy,77 ,100,not_set
,,,,,,Does not apply,,http://www.ebay.com/itm/6pcs-Christmas-Santa-Claus-Ornaments-Festival-Party-Xmas-Tree-Hanging-Decoration/142093963717?epid=1053699169&hash=item211575d1c5%3Ag%3Agy8AAOSwV0RXul9p,204 ,6,0.99
,,,,,,,,http://www.ebay.com/itm/24-12-6pcs-Christmas-Tree-Xmas-Balls-Decorations-Baubles-Party-Wedding-Ornament/191982112628?hash=item2cb3068f74%3Am%3Am8zt1X_opLBS5qwNNymyBxA&var=,214 ,24,1.99
,,,,Does Not Apply,,,,http://www.ebay.com/itm/9PCS-Christmas-Gold-Pine-Cones-Baubles-Xmas-Tree-Decorations-Ornament-Gift-Decor/252626410124?hash=item3ad1b51a8c%3Am%3AmQXqbDvbyEbATAH4c5Diw3g&var=,222 ,9,not_set
,,,,,,Does not apply,,http://www.ebay.com/itm/6-Pcs-Christmas-Decorations-Wooden-Ornament-Xmas-Tree-Hanging-Pendant-Decor/162263346412?hash=item25c7a62cec%3Ag%3AfkQAAOSwImRYFt3W,215 ,6,not_set
,,,,,Unbranded,,,http://www.ebay.com/itm/24Pcs-Glitter-Snowflake-Christmas-Ornaments-Xmas-Tree-Hanging-Home-Decor-Gifts/391608874306?hash=item5b2db53542%3Am%3AmUNofbnon2Rbgynb9aORM8w&var=,80 ,24,C $0.99
