category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
43533,,,,,,808412112959,"[{'date': '2017-09-12 19:28:43',
 'ebayID': '381180040165',
 'price': 5.99,
 'quantity': u'1'}, {'date': '2017-09-12 11:14:04',
 'ebayID': '381180040165',
 'price': 5.99,
 'quantity': u'1'}, {'date': '2017-09-06 19:37:43',
 'ebayID': '381180040165',
 'price': 5.99,
 'quantity': u'1'}]",http://www.ebay.com/itm/Dont-Get-Cawwed-Garden-Flag-Halloween-Bats-Full-Moon-Crows-12-5-x18-Evergreen-/381180040165?hash=item58c019d3e5:g:P6sAAOSwT6pV1M2S,53 ,381180040165,5.99
43533,,,,,,Does not apply,"[{'date': '2017-08-20 07:58:03',
 'ebayID': '380459435825',
 'price': 8.45,
 'quantity': u'1'}]",http://www.ebay.com/itm/GRACIOUSLY-DEPARTED-DEAD-NEW-GRATEFUL-BAND-3X5-FLAG-BANNER-SKULL-ROSES-ENT-TREE-/380459435825?hash=item5895264731:g:aFUAAOSwF1dUOXiA,53 ,380459435825,8.45
170094,,,,,,Does not apply,"[{'date': '2017-09-16 20:05:59', 'ebayID': '5', 'price': 9.59, 'quantity': u'2'}, {'date': '2017-08-30 10:12:32', 'ebayID': '5', 'price': 8.49, 'quantity': u'2'}, {'date': '2017-08-10 22:23:50', 'ebayID': '5', 'price': 8.49, 'quantity': u'1'}]",http://www.ebay.com/itm/5x3ft-Halloween-Bunting-Ghost-Flag-/221267662424?epid=1331469956&hash=item3384949658:g:uM4AAOSwoudW~Tpj,55 ,5,9.59
170094,,,,,,643345879865,,http://www.ebay.com/itm/4-Pack-Lot-Halloween-Decor-Battery-Powered-LED-Lantern-Hanging-Paper-Lamp-Light-/121763108624?epid=1545519897&hash=item1c59a59710:g:-RsAAOSw37tV-3An,57 ,4,9.99
168038,,,,,,,"[{'date': '2017-09-17 16:00:04',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-16 20:18:25',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-16 10:21:08',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-14 17:09:15',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-10 15:49:22',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-04 17:16:50',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-03 14:08:20',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-02 20:25:47',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-02 06:09:35',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-09-02 03:00:40',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-08-27 17:06:54',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'2'}, {'date': '2017-08-25 16:23:14',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-08-18 14:42:41',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-08-17 11:55:01',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-08-15 10:29:21',
 'ebayID': '142135423901',
 'price': 20.85,
 'quantity': u'1'}, {'date': '2017-08-07 10:18:49',
 'ebayID': '142135423901',
 'price': 21.95,
 'quantity': u'1'}, {'date': '2017-07-30 17:50:56',
 'ebayID': '142135423901',
 'price': 19.75,
 'quantity': u'1'}, {'date': '2017-07-23 03:14:45',
 'ebayID': '142135423901',
 'price': 19.75,
 'quantity': u'1'}, {'date': '2017-07-16 14:28:22',
 'ebayID': '142135423901',
 'price': 19.75,
 'quantity': u'1'}, {'date': '2017-07-04 16:34:20',
 'ebayID': '142135423901',
 'price': 19.75,
 'quantity': u'1'}, {'date': '2017-06-16 18:49:49',
 'ebayID': '142135423901',
 'price': 19.75,
 'quantity': u'1'}]",http://www.ebay.com/itm/Zombie-Brains-Ground-breaker-Prop-Halloween-NEW-Haunted-House-Decor-/142135423901?epid=0&hash=item2117ee739d:g:C3oAAOSw65FXtKy~,60 ,142135423901,not_set
43533,,,,,,NA,,http://www.ebay.com/itm/3x5-Halloween-Ghost-Boo-Boo-Flag-3x5-house-banner-grommets-/331541752809?hash=item4d316dabe9:g:hd8AAOSwPhdVQCEb,88 ,3,6.19
43533,,,,,,NA,,http://www.ebay.com/itm/3x5-Happy-Halloween-Pumpkin-Jack-o-Lantern-Bunting-Fan-Flag-3x5-Grommets-/262659444590?epid=1091023619&hash=item3d27b90f6e:g:GboAAOSwtYxZfkFS,98 ,3,6.88
category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,,,,780984145095,"[{'date': '2017-08-28 13:36:49',
 'ebayID': '130963878994',
 'price': 4.99,
 'quantity': u'1'}]",http://www.ebay.com/itm/HALLOWEEN-Party-Decoration-Prop-Jumbo-GIANT-HANGING-CEILING-SPIDER-20-ft-Foot-/130963878994?epid=691446971&hash=item1e7e0e3452:g:n4AAAOSwdzVXwStS,489 ,130963878994,4.99
,,,,,,886102282304,"[{'date': '2017-09-17 14:55:16',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'1'}, {'date': '2017-09-16 14:27:22',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'1'}, {'date': '2017-08-24 17:15:31',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'2'}, {'date': '2017-08-04 04:21:50',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'1'}, {'date': '2017-07-17 15:53:51',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'2'}, {'date': '2017-07-13 07:21:53',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'1'}, {'date': '2017-06-28 07:36:44',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'1'}, {'date': '2017-06-18 09:42:19',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'1'}, {'date': '2017-05-28 16:50:02',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'1'}, {'date': '2017-01-15 15:22:04',
 'ebayID': '12',
 'price': 3.49,
 'quantity': u'1'}]",http://www.ebay.com/itm/12-HALLOWEEN-Party-Prop-Decoration-2-Liter-DRINK-Soda-ZOMBIE-BOTTLE-LABELS-/161220776861?epid=1309275423&hash=item258981d39d:g:AkQAAOxy87tSE-wX,322 ,12,3.49
