category,asin,description,ean,mpn,brand,upc,sold_items,url,sold,ebayID,price
,,,0812566022897,,,,5,http://www.ebay.com/itm/Skeleton-Halloween-Decoration-Scary-Grim-Reaper-Decor-Outdoor-Haunted-House-Prop/152272387607?epid=1772344515&hash=item2374243e17%3Ag%3ADDIAAOSw-CpX-gBv,22 ,152272387607,30.85
,,,,,,8157383137242,22,http://www.ebay.com/itm/Outdoor-Halloween-Tombstone-Decoration-Scary-Spooky-Haunted-House-Decor-4-Pack/332367752696?epid=2221936488&hash=item4d62a96df8%3Ag%3AgugAAOSwVgZZrBf4,24 ,332367752696,not_set
,,,,,,034689009986,1,http://www.ebay.com/itm/HALLOWEEN-Party-Decoration-Wall-Banner-Mural-Photo-Prop-Wicked-FLYING-WITCH/130970276076?epid=0&hash=item1e7e6fd0ec%3Ag%3AArIAAOxyvuVSEIIx,23 ,130970276076,6.57
,,,,,,Does not apply,0,http://www.ebay.com/itm/HALLOWEEN-FLAG-3X5-PUMPKINS-SPOOKY-3-X-5-NEW-HAUNTED-HOUSE-BLACK-CAT-BATS/310166197842?hash=item4837589652%3Ag%3A%7EjMAAOSwEppUOXgZ,23 ,310166197842,8.45
,,,,,,,,http://www.ebay.com/itm/Halloween-3-Pc-Door-Banner-Set-Triple-Lighted-Rattan-Pumpkins-Porch-Decoration/253097316106?hash=item3aedc68f0a%3Am%3AmG_2hSdXrzb-ty4tWLYyYIQ&var=,27 ,253097316106,27.47
,,,,,,886102868263,0,http://www.ebay.com/itm/HALLOWEEN-Party-Decoration-Prop-ZOMBIE-Walking-Dead-Window-BACKDROP-Mural-Banner/141391121342?hash=item20eb914bbe%3Ag%3A9HQAAOSwa%7EhZaCJb,236 ,141391121342,9.49
,,,,,,Does not apply,7,http://www.ebay.com/itm/Fake-Bloody-Arm-Scary-Halloween-Party-Decor-Adult-Decoration-Horror-Props-Zombie/232088314084?hash=item36098aa0e4%3Ag%3AER0AAOSwPCVX4Dsp,24 ,232088314084,6.99
,,,,,,887600062443,0,http://www.ebay.com/itm/NEW-Giant-10ft-Black-SPIDERWEB-Halloween-Party-Decorations/221843667926?epid=1008182464&hash=item33a6e9bbd6%3Ag%3AxMkAAOSwDk5T6Yr%7E,24 ,221843667926,15.99
,,,,,,876416050027,0,http://www.ebay.com/itm/HALLOWEEN-SCARY-RAT-MOUSE-PARTY-SEASONAL-PROP-DECOR-DECORATION/112083288136?hash=item1a18af4048%3Ag%3A4lMAAOSw2xRYhtgM,24 ,112083288136,5.99
,,,,,,,29,http://www.ebay.com/itm/INFLATABLE-PUMPKIN-REAPER-5-Ft-Life-Size-Light-Up-Outdoor-Halloween-Prop-Decor/122687363187?epid=1941975094&hash=item1c90bc9873%3Ag%3AlygAAOSw6btZsXSD,29 ,122687363187,37.55
,,,,,Amscan,,29,http://www.ebay.com/itm/Indoor-Home-Halloween-Decoration-Spooky-Decor-Prop-Trick-Or-Treat-Scene-Wall-Kit/263175467607?epid=1710425965&hash=item3d467af257%3Ag%3A3DkAAOSw5l5Zpffa,29 ,263175467607,13.72
,,,,,,887600062450,0,http://www.ebay.com/itm/HALLOWEEN-Party-Haunted-House-Decoration-Prop-Spooky-Fabric-HANGING-BATS/141351712338?epid=691229975&hash=item20e937f652%3Ag%3AQioAAOSwI%7EVTyaRg,297 ,141351712338,6.99
,,,,,,Does not apply,17,http://www.ebay.com/itm/3-PC-LIGHTED-EYES-REALISTIC-GARGOYLE-SET-OUTDOOR-LAWN-PORCH-HALLOWEEN-HOME-DECOR/142473087591?hash=item212c0eca67%3Ag%3ARKYAAOSw5JJZjZgU,31 ,3,13.75
