ean,mpn,brand,upc,url,ebayID
,DW2166,DEWALT,028877528144,http://www.ebay.com/itm/DEWALT-DW2166-45-Piece-Screwdriving-Set-/251868902023?hash=item3aa48e7287,251868902023
,1155901,OXO,,http://www.ebay.com/itm/OXO-Good-Grips-Green-Salad-Spinner-New-Free-Shipping-/251817024834?hash=item3aa176dd42,251817024834
,ARC-914SBD,Aroma,,http://www.ebay.com/itm/Aroma-8-Cup-Cooked-Digital-Rice-Cooker-and-Food-Steamer-Stainless-Steel-/261757158590?hash=item3cf1f144be,261757158590
,RV544,Revlon,,http://www.ebay.com/itm/Revlon-RV544PKF-1875W-Tourmaline-Ionic-Ceramic-Dryer-New-Free-Shipping-/261757138521?hash=item3cf1f0f659,261757138521
,,,,http://www.ebay.com/itm/Pyle-Pro-PDC21-1-4-Instrument-To-Balanced-Unbalanced-1-4-XLR-Direct-Box-/261727981778?hash=item3cf03410d2,261727981778
